ActTr,sumADT
1863.00,6210.00
1956.00,4952.50
261.00,4025.00
591.00,9060.00
2328.00,8062.50
1531.00,4025.00
1234.00,7460.00
1517.00,1535.00
968.00,4200.00
573.00,15300.00
400.00,3762.50
789.00,12250.00
1209.00,10260.00
739.00,15697.50
1863.00,900.00
575.00,2277.50
2633.00,12425.00
1877.00,7080.00
481.00,9450.00
500.00,7525.00
863.00,3780.00
2099.00,19075.00
1841.00,6420.00
1681.00,13387.50
1835.00,6737.50
498.00,4415.00
1986.00,9612.50
1968.00,10590.00
978.00,3037.50
1207.00,24387.50
899.00,3960.00
2627.00,6300.00
2149.00,1320.00
2454.00,4480.00
524.00,15227.50
336.00,10675.00
484.00,10237.50
2043.00,14703.75
1535.00,7437.50
1313.00,5311.25
2222.00,3325.00
2239.00,4700.00
505.00,6825.00
1339.00,3390.00
755.00,11900.00
418.00,2615.00
2319.00,11567.50
2347.00,12660.00
1357.00,16980.00
